"Test","Target","Version","Round","CPU_min","CPU_max","RAM_min(B)","RAM_max(B)","Timestamp","Duration","SCRIPT_FILENAME","APPL_SCRIPT_NAME","Protocol","E1_ADDR","E2_ADDR","CONSECUTIVE_LOST","CPU_UTIL_E1","CPU_UTIL_E2","DELAY_FACTOR","DELAY_VARIATION","END_TO_END_DELAY","JITTER_AVG","JITTER_MIN","JITTER_MAX","MEDIA_LOSS_RATE","MOS_ESTIMATE_AVG","MOS_ESTIMATE_MIN","MOS_ESTIMATE_MAX","ONE_WAY_DELAY_AVG","ONE_WAY_DELAY_MIN","ONE_WAY_DELAY_MAX","R_VALUE_AVG","R_VALUE_MIN","R_VALUE_MAX","REL_PRECISION","RESP_TIME_AVG","RESP_TIME_MIN","RESP_TIME_MAX","RSSI_E1_AVG","RSSI_E1_MIN","RSSI_E1_MAX","RSSI_E2_AVG","RSSI_E2_MIN","RSSI_E2_MAX","THROUGHPUT_AVG","THROUGHPUT_MIN","THROUGHPUT_MAX","TRANS_RATE_AVG","TRANS_RATE_MIN","TRANS_RATE_MAX" 
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","1","15.40530","0","19044352","0",20260427180727, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
"ts004_packet_simulator_onelink.bat","AIFlow","1.1.5.0","2","7.684245","0","19775488","0",20260427180811, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.0.136, 192.168.0.156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
