"Test","Target","Version","Round","CPU_before","CPU_during","CPU_after","RAM_before(MB)","RAM_during(MB)","RAM_after(MB)","Timestamp","Duration","SCRIPT_FILENAME","Protocol","E1_ADDR","E2_ADDR" 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","1","11","2","193","207","163","20260430162546","30","HTTPtext.scr","TCP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","2","6","1","162","306","185","20260430162546","60","High_Performance_Throughput.scr","TCP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","1","4","2","186","232","189","20260430162546","60","High_Performance_Throughput.scr","UDP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","2","10","2","189","233","189","20260430162546","60","Low_Performance_Throughput.scr","TCP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","0","9","3","189","234","189","20260430162546","60","Low_Performance_Throughput.scr","UDP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","3","15","2","204","209","212","20260430162546","60","Response_Time.scr","TCP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","0","12","0","214","219","210","20260430162546","60","Response_Time.scr","UDP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","2","5","1","208","254","206","20260430162546","60","Throughput.scr","TCP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","2","5","0","207","258","197","20260430162546","60","Throughput.scr","UDP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","0","21","3","193","328","282","20260430162546","60","Ultra_High_Performance_Throughput.scr","TCP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","1","6","4","272","333","279","20260430162546","60","Ultra_High_Performance_Throughput.scr","UDP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","4","6","4","289","378","260","20260430162546","60","Creditl.scr","TCP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","2","9","2","331","357","273","20260430162546","60","Creditl.scr","UDP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","3","12","5","319","399","314","20260430162546","60","Credits.scr","TCP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","4","8","5","413","385","339","20260430162546","60","Credits.scr","UDP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","2","11","4","422","402","349","20260430162546","60","Dbasel.scr","TCP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","3","10","4","400","387","342","20260430162546","60","Dbasel.scr","UDP",192.168.0.136,192.168.0.156 
"ts004_packet_simulator_onelink.bat","AIFlow Acer","1.1.5.0","1","4","13","3","345","357","323","20260430162546","60","Dbases.scr","TCP",192.168.0.136,192.168.0.156 
